50/50 H2O/SiO2 EOS table for planetary interior model (WITH phase equilibrium), 51 temps, 147 densities
***UvA version, Allona Vazan***  June 2018 ***
units:    1 keV = 1.1605e+7 Kelvin; 1 jrk = 1.e+16 erg
          1 jrk/cc = 1.e+4 Mbar

 lgT(Kev)  lgro          log P(jrk/cc)              u(jrk/g)                 s(jrk/g-keV)
-5.90    -5.40    -2.100376699435384E+01     3.281384247133615E-05     1.395739378954552E-05
-5.90    -5.30    -2.100376699435384E+01     3.281384241990457E-05     1.395587450352803E-05
-5.90    -5.20    -2.100376699435384E+01     3.281384237905102E-05     1.395466769174773E-05
-5.90    -5.10    -2.100376699435384E+01     3.281384234659989E-05     1.395370908707663E-05
-5.90    -5.00    -2.100376699435384E+01     3.281384232082304E-05     1.395294764032044E-05
-5.90    -4.90    -2.100376699435384E+01     3.281384230034776E-05     1.395234280166276E-05
-5.90    -4.80    -2.100376699435384E+01     3.281384228408368E-05     1.395186236123951E-05
-5.90    -4.70    -2.100376699435384E+01     3.281384227116464E-05     1.395148073384622E-05
-5.90    -4.60    -2.100376699435384E+01     3.281384226090270E-05     1.395117759643259E-05
-5.90    -4.50    -2.100376699435384E+01     3.281384225275135E-05     1.395093680582594E-05
-5.90    -4.40    -2.100376699435384E+01     3.281384224627649E-05     1.395074553904841E-05
-5.90    -4.30    -2.100376699435384E+01     3.281384224113334E-05     1.395059361044667E-05
-5.90    -4.20    -2.100376699435384E+01     3.281384223704798E-05     1.395047292926864E-05
-5.90    -4.10    -2.100376699435384E+01     3.281384223380287E-05     1.395037706880152E-05
-5.90    -4.00    -2.100376699435384E+01     3.281384223122518E-05     1.395030092412591E-05
-5.90    -3.90    -2.100376699435384E+01     3.281384222917765E-05     1.395024044026014E-05
-5.90    -3.80    -2.100376699435384E+01     3.281384222755125E-05     1.395019239621782E-05
-5.90    -3.70    -2.100376699435384E+01     3.281384222625934E-05     1.395015423347848E-05
-5.90    -3.60    -2.100376699435384E+01     3.281384222523314E-05     1.395012391973712E-05
-5.90    -3.50    -2.100376699435384E+01     3.281384222441801E-05     1.395009984067646E-05
-5.90    -3.40    -2.100376699435384E+01     3.281384222377052E-05     1.395008071399871E-05
-5.90    -3.30    -2.100376699435384E+01     3.281384222325621E-05     1.395006552113853E-05
-5.90    -3.20    -2.100376699435384E+01     3.281384222284768E-05     1.395005345302073E-05
-5.90    -3.10    -2.100376699435384E+01     3.281384222252317E-05     1.395004386697402E-05
-5.90    -3.00    -2.100376699435384E+01     3.281384222226539E-05     1.395003625250646E-05
-5.90    -2.90    -2.100376699435384E+01     3.281384222206065E-05     1.395003020411988E-05
-5.90    -2.80    -2.100376699435384E+01     3.281384222189800E-05     1.395002539971564E-05
-5.90    -2.70    -2.100376699435384E+01     3.281384222176881E-05     1.395002158344171E-05
-5.90    -2.60    -2.100376699435384E+01     3.281384222166620E-05     1.395001855206757E-05
-5.90    -2.50    -2.100376699435384E+01     3.281384222158468E-05     1.395001614416151E-05
-5.90    -2.40    -2.100376699435384E+01     3.281384222151993E-05     1.395001423149374E-05
-5.90    -2.30    -2.100376699435384E+01     3.281384222146850E-05     1.395001271220772E-05
-5.90    -2.20    -2.100376699435384E+01     3.281384222142764E-05     1.395001150539594E-05
-5.90    -2.10    -2.100376699435384E+01     3.281384222139519E-05     1.395001054679127E-05
-5.90    -2.00    -2.100376699435384E+01     3.281384222136941E-05     1.395000978534451E-05
-5.90    -1.90    -2.100376699435384E+01     3.281384222134894E-05     1.395000918050585E-05
-5.90    -1.80    -2.100376699435384E+01     3.281384222133267E-05     1.395000870006543E-05
-5.90    -1.70    -2.100376699435384E+01     3.281384222131976E-05     1.395000831843803E-05
-5.90    -1.60    -2.100376699435384E+01     3.281384222130950E-05     1.395000801530062E-05
-5.90    -1.50    -2.100376699435384E+01     3.281384222130135E-05     1.395000777451002E-05
-5.90    -1.40    -2.100376699435384E+01     3.281384222129487E-05     1.395000758324323E-05
-5.90    -1.30    -2.100376699435384E+01     3.281384222128972E-05     1.395000743131463E-05
-5.90    -1.20    -2.100376699435384E+01     3.281384222128564E-05     1.395000731063346E-05
-5.90    -1.10    -2.100376699435384E+01     3.281384222128239E-05     1.395000721477299E-05
-5.90    -1.00    -2.100376699435384E+01     3.281384222127982E-05     1.395000713862832E-05
-5.90    -0.90    -2.100376699435384E+01     3.281384222127778E-05     1.395000707814445E-05
-5.90    -0.80    -2.100376699435384E+01     3.281384222127615E-05     1.395000703010041E-05
-5.90    -0.70    -2.100376699435384E+01     3.281384222127486E-05     1.395000699193767E-05
-5.90    -0.60    -2.100376699435384E+01     3.281384222127383E-05     1.395000696162393E-05
-5.90    -0.50    -2.100376699435384E+01     3.281384222127301E-05     1.395000693754487E-05
-5.90    -0.40    -2.100376699435384E+01     3.281384222127236E-05     1.395000691841819E-05
-5.90    -0.30    -2.100376699435384E+01     3.281384222127185E-05     1.395000690322533E-05
