density_[g_m3],pressure_[GPa],temperature_cold_podolak_[K],temperature_hot_podolak_[K],radius_[m]
2.3448,120.24000000000001,2171.9,3975.2,1533400000.0
2.3534,121.10000000000001,2173.1,3976.4,1530900000.0
2.362,121.95,2174.3,3977.6,1528400000.0
2.3705,122.81,2175.6,3978.8,1525800000.0
2.3791,123.68,2176.8,3980.0,1523300000.0
2.3876,124.54,2178.0,3981.2,1520800000.0
2.3962,125.41000000000001,2179.2,3982.3,1518200000.0
2.4047,126.28,2180.3,3983.5,1515700000.0
2.4132,127.16000000000001,2181.5,3984.7,1513100000.0
2.4217,128.03,2182.7,3985.8,1510600000.0
2.4302,128.91,2183.9,3987.0,1508100000.0
2.4387,129.8,2185.0,3988.1,1505500000.0
2.4472,130.68,2186.2,3989.2,1503000000.0
2.4557,131.57,2187.3,3990.3,1500400000.0
2.4642,132.46,2188.5,3991.5,1497900000.0
2.4726,133.36,2189.6,3992.6,1495400000.0
2.4811,134.25,2190.7,3993.7,1492800000.0
2.4895,135.15,2191.8,3994.8,1490300000.0
2.4979,136.06,2193.0,3995.9,1487700000.0
2.5064,136.96,2194.1,3997.0,1485200000.0
2.5148,137.87,2195.2,3998.0,1482700000.0
2.5232,138.78,2196.3,3999.1,1480100000.0
2.5316,139.70000000000002,2197.3,4000.2,1477600000.0
2.54,140.61,2198.4,4001.2,1475100000.0
2.5483,141.53,2199.5,4002.3,1472500000.0
2.5567,142.45000000000002,2200.6,4003.4,1470000000.0
2.5651,143.38,2201.6,4004.4,1467400000.0
2.5734,144.31,2202.7,4005.4,1464900000.0
2.5818,145.24,2203.8,4006.5,1462400000.0
2.5901,146.17000000000002,2204.8,4007.5,1459800000.0
2.5984,147.1,2205.8,4008.5,1457300000.0
2.6067,148.04,2206.9,4009.5,1454700000.0
2.615,148.98000000000002,2207.9,4010.6,1452200000.0
2.6233,149.92000000000002,2208.9,4011.6,1449700000.0
2.6315,150.87,2210.0,4012.6,1447100000.0
2.6398,151.82,2211.0,4013.6,1444600000.0
2.648,152.77,2212.0,4014.6,1442000000.0
2.6563,153.72,2213.0,4015.5,1439500000.0
2.6645,154.68,2214.0,4016.5,1437000000.0
2.6727,155.64000000000001,2215.0,4017.5,1434400000.0
2.6809,156.6,2216.0,4018.5,1431900000.0
2.6891,157.56,2216.9,4019.4,1429400000.0
2.6973,158.53,2217.9,4020.4,1426800000.0
2.7054,159.5,2218.9,4021.3,1424300000.0
2.7136,160.47,2219.9,4022.3,1421700000.0
2.7217,161.44,2220.8,4023.2,1419200000.0
2.7299,162.42000000000002,2221.8,4024.2,1416700000.0
2.738,163.39000000000001,2222.7,4025.1,1414100000.0
2.7461,164.37,2223.7,4026.0,1411600000.0
2.7542,165.36,2224.6,4027.0,1409000000.0
2.7622,166.34,2225.6,4027.9,1406500000.0
2.7703,167.33,2226.5,4028.8,1404000000.0
2.7783,168.32,2227.4,4029.7,1401400000.0
2.7864,169.31,2228.3,4030.6,1398900000.0
2.7944,170.3,2229.3,4031.5,1396400000.0
2.8024,171.3,2230.2,4032.4,1393800000.0
2.8104,172.3,2231.1,4033.3,1391300000.0
2.8184,173.3,2232.0,4034.2,1388700000.0
2.8263,174.3,2232.9,4035.1,1386200000.0
2.8343,175.31,2233.8,4036.0,1383700000.0
2.8422,176.32,2234.7,4036.8,1381100000.0
2.8501,177.33,2235.5,4037.7,1378600000.0
2.8581,178.34,2236.4,4038.6,1376000000.0
2.8659,179.35,2237.3,4039.4,1373500000.0
2.8738,180.37,2238.2,4040.3,1371000000.0
2.8817,181.39000000000001,2239.0,4041.2,1368400000.0
2.8895,182.41,2239.9,4042.0,1365900000.0
2.8974,183.43,2240.8,4042.9,1363300000.0
2.9052,184.46,2241.6,4043.7,1360800000.0
2.913,185.48000000000002,2242.5,4044.5,1358300000.0
2.9208,186.51000000000002,2243.3,4045.4,1355700000.0
2.9285,187.54000000000002,2244.2,4046.2,1353200000.0
2.9363,188.57,2245.0,4047.0,1350700000.0
2.944,189.61,2245.8,4047.8,1348100000.0
2.9518,190.65,2246.7,4048.7,1345600000.0
2.9595,191.68,2247.5,4049.5,1343000000.0
2.9672,192.73000000000002,2248.3,4050.3,1340500000.0
2.9748,193.77,2249.1,4051.1,1338000000.0
2.9825,194.81,2249.9,4051.9,1335400000.0
2.9901,195.86,2250.7,4052.7,1332900000.0
2.9978,196.91,2251.5,4053.5,1330300000.0
3.0054,197.96,2252.3,4054.3,1327800000.0
3.013,199.01000000000002,2253.1,4055.0,1325300000.0
3.0206,200.06,2253.9,4055.8,1322700000.0
3.0281,201.12,2254.7,4056.6,1320200000.0
3.0357,202.17000000000002,2255.5,4057.4,1317600000.0
3.0432,203.23000000000002,2256.3,4058.1,1315100000.0
3.0507,204.29000000000002,2257.1,4058.9,1312600000.0
3.0582,205.35,2257.8,4059.7,1310000000.0
3.0657,206.42000000000002,2258.6,4060.4,1307500000.0
3.0731,207.48000000000002,2259.4,4061.2,1305000000.0
3.0806,208.55,2260.1,4061.9,1302400000.0
3.088,209.62,2260.9,4062.7,1299900000.0
3.0954,210.69,2261.7,4063.4,1297300000.0
3.1028,211.76000000000002,2262.4,4064.2,1294800000.0
3.1102,212.83,2263.2,4064.9,1292300000.0
3.1175,213.91,2263.9,4065.7,1289700000.0
3.1248,214.99,2264.7,4066.4,1287200000.0
3.1322,216.06,2265.4,4067.1,1284600000.0
3.1395,217.14000000000001,2266.1,4067.8,1282100000.0
3.1467,218.22,2266.9,4068.6,1279600000.0
3.154,219.31,2267.6,4069.3,1277000000.0
3.1612,220.39000000000001,2268.3,4070.0,1274500000.0
3.1685,221.48000000000002,2269.0,4070.7,1271900000.0
3.1757,222.56,2269.8,4071.4,1269400000.0
3.1829,223.65,2270.5,4072.1,1266900000.0
3.19,224.74,2271.2,4072.8,1264300000.0
3.1972,225.83,2271.9,4073.5,1261800000.0
3.2043,226.92000000000002,2272.6,4074.2,1259300000.0
3.2114,228.02,2273.3,4074.9,1256700000.0
3.2185,229.11,2274.0,4075.6,1254200000.0
